Time (us)	Load raw 1	Load raw 2	Load raw 3	Acceleration raw 1	Acceleration raw 2	Acceleration raw 3	Load filtered 1	Load filtered 2	Load filtered 3	Load scaled 1	Load scaled 2	Load scaled 3	Load summ	Acceleration scaled 1	Acceleration scaled 2	Acceleration scaled 3
0	0.000047	-0.000000	-0.000030	5.114990	5.126671	5.122106	-0.000286	0.000017	-0.000006	560.652573	-83.984094	10.214111	486.882590	-92.199559	-1.719658	1761.601838
59	0.000047	-0.000001	-0.000030	5.114990	5.126671	5.122106	-0.000284	0.000017	-0.000006	558.447327	-83.864676	10.366890	484.949541	-92.190745	-1.719392	1761.611491
117	0.000046	-0.000001	-0.000031	5.114990	5.126671	5.122106	-0.000283	0.000017	-0.000007	556.233817	-83.744928	10.520181	483.009069	-92.181897	-1.719127	1761.621176
176	0.000046	-0.000001	-0.000030	5.114990	5.126671	5.122106	-0.000282	0.000017	-0.000007	554.012269	-83.624841	10.673948	481.061376	-92.173030	-1.718862	1761.630880
234	0.000046	-0.000001	-0.000030	5.114990	5.126671	5.122106	-0.000281	0.000016	-0.000007	551.782870	-83.504400	10.828199	479.106670	-92.164179	-1.718599	1761.640597
293	0.000047	-0.000000	-0.000030	5.114990	5.126671	5.122106	-0.000279	0.000016	-0.000007	549.545839	-83.383598	10.982918	477.145158	-92.155369	-1.718335	1761.650311
352	0.000047	-0.000000	-0.000030	5.114990	5.126671	5.122106	-0.000278	0.000016	-0.000007	547.301400	-83.262450	11.138080	475.177029	-92.146625	-1.718071	1761.659975
410	0.000047	-0.000000	-0.000030	5.114990	5.126671	5.122106	-0.000277	0.000016	-0.000007	545.049727	-83.140980	11.293663	473.202410	-92.137924	-1.717807	1761.669562
469	0.000047	-0.000000	-0.000031	5.114990	5.126671	5.122106	-0.000275	0.000016	-0.000007	542.790997	-83.019193	11.449678	471.221482	-92.129175	-1.717541	1761.679134
527	0.000047	0.000000	-0.000030	5.114990	5.126671	5.122106	-0.000274	0.000016	-0.000007	540.525438	-82.897094	11.606173	469.234517	-92.120324	-1.717274	1761.688733
586	0.000047	-0.000000	-0.000030	5.114990	5.126671	5.122106	-0.000273	0.000016	-0.000007	538.253281	-82.774718	11.763136	467.241699	-92.111428	-1.717010	1761.698322
645	0.000048	-0.000000	-0.000030	5.114990	5.126671	5.122106	-0.000271	0.000016	-0.000007	535.974718	-82.652100	11.920523	465.243142	-92.102519	-1.716746	1761.707931
703	0.000046	-0.000001	-0.000031	5.114990	5.126671	5.122106	-0.000270	0.000016	-0.000008	533.689936	-82.529245	12.078314	463.239005	-92.093533	-1.716484	1761.717631
762	0.000047	-0.000001	-0.000030	5.114990	5.126671	5.122106	-0.000268	0.000016	-0.000008	531.399135	-82.406162	12.236484	461.229457	-92.084441	-1.716222	1761.727396
820	0.000046	-0.000001	-0.000030	5.114990	5.126671	5.122106	-0.000267	0.000016	-0.000008	529.102532	-82.282867	12.394994	459.214659	-92.075278	-1.715962	1761.737195
879	0.000047	-0.000001	-0.000031	5.114990	5.126671	5.122106	-0.000266	0.000016	-0.000008	526.800327	-82.159358	12.553838	457.194806	-92.066115	-1.715704	1761.746974
938	0.000046	-0.000001	-0.000030	5.114990	5.126671	5.122106	-0.000264	0.000016	-0.000008	524.492695	-82.035633	12.713015	455.170077	-92.057009	-1.715446	1761.756661
996	0.000046	-0.000001	-0.000031	5.114990	5.126671	5.122106	-0.000263	0.000016	-0.000008	522.179807	-81.911701	12.872518	453.140624	-92.047926	-1.715190	1761.766273
1055	0.000046	-0.000001	-0.000030	5.114990	5.126671	5.122106	-0.000262	0.000015	-0.000008	519.861854	-81.787578	13.032358	451.106635	-92.038826	-1.714935	1761.775865
1113	0.000047	-0.000000	-0.000030	5.114990	5.126671	5.122106	-0.000260	0.000015	-0.000008	517.539020	-81.663273	13.192528	449.068274	-92.029757	-1.714679	1761.785461
1172	0.000047	-0.000000	-0.000030	5.114990	5.126671	5.122106	-0.000259	0.000015	-0.000008	515.211477	-81.538788	13.352983	447.025672	-92.020765	-1.714422	1761.795062
1230	0.000047	-0.000000	-0.000030	5.114990	5.126671	5.122106	-0.000258	0.000015	-0.000008	512.879435	-81.414137	13.513697	444.978995	-92.011804	-1.714164	1761.804666
1289	0.000047	-0.000001	-0.000030	5.114990	5.126671	5.122106	-0.000256	0.000015	-0.000008	510.543088	-81.289323	13.674678	442.928443	-92.002815	-1.713905	1761.814281
1348	0.000046	-0.000001	-0.000030	5.114990	5.126671	5.122106	-0.000255	0.000015	-0.000009	508.202614	-81.164351	13.835942	440.874205	-91.993752	-1.713647	1761.823923
1406	0.000047	-0.000000	-0.000030	5.114990	5.126671	5.122106	-0.000253	0.000015	-0.000009	505.858197	-81.039249	13.997500	438.816448	-91.984601	-1.713388	1761.833563
1465	0.000046	-0.000001	-0.000030	5.114990	5.126671	5.122106	-0.000252	0.000015	-0.000009	503.510000	-80.914020	14.159337	436.755317	-91.975419	-1.713129	1761.843144
1523	0.000047	-0.000000	-0.000030	5.114990	5.126671	5.122106	-0.000251	0.000015	-0.000009	501.158188	-80.788647	14.321397	434.690938	-91.966239	-1.712872	1761.852607
1582	0.000047	-0.000000	-0.000030	5.114990	5.126671	5.122106	-0.000249	0.000015	-0.000009	498.802958	-80.663150	14.483637	432.623446	-91.957042	-1.712616	1761.861972
1641	0.000046	-0.000001	-0.000030	5.114990	5.126671	5.122106	-0.000248	0.000015	-0.000009	496.444478	-80.537560	14.646063	430.552981	-91.947846	-1.712361	1761.871300
1699	0.000047	-0.000000	-0.000030	5.114990	5.126671	5.122106	-0.000246	0.000015	-0.000009	494.082887	-80.411899	14.808691	428.479679	-91.938667	-1.712105	1761.880576
